",",商品,全名,",",用户,评论,时间,",",用户,评论,内容
27,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,07,-,21, ,08,:,28,:,38,",",稍微,适应,了,一会儿,就,上,手,了,，,确实,很,好,用,，,尤其,是,触摸板,的,逻辑,，,比,鼠标,要强,很多,，,办公,软件,的话,买个,了,许可,，,和,Windows, ,7,就,没什么,区别,了,，,就是,内存空间,少,了,一点,，,买,了,一个,外接,硬盘,，,实际,使用,效果,不错,，,如果,有,的,人,是,使用,小米,的,转换器,的话,，,那个,转换器,配,MacBook,会,很,烫,很,烫,，,建议,慎重考虑
28,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,06,-,06, ,16,:,00,:,40,",","""",买,之前,一直,都,有,担心,，,网上,的,评价,有,褒,有,贬,，,看得,我,眼花缭乱,。
之前,的,iPad,和,iPhone,都,是,直接,在,大悦,城,的,实体,店里,买,的,，,这是,第一次,在,京东,买,这么,贵,的,东西,。,犹豫,了,好久,终于,下,了,单,，,第二天,收到,，,拆箱,之前,先查,了,一下,序列号,，,发现,没有,问题,。,于是,开始,激活,电脑,，,屏幕,很赞,，,没有,裂痕,和,缺口,，,这个,清晰度,真的,感人,，,幸亏,没有,买,air,。,总之,好评,加加,加加,加,啊,！,都,说,买,到,的,东西,好坏,是,个,概率,问题,，,庆幸,自己,运气,好,，,买到,了,一台,很赞,的,机子,。,这次,无论如何,都,要,给,京东,一个,好评,！
BTW,，,真的,爱死,了,苹果,系统,，,买,苹果电脑,就是,为了,系统,买,的,，,为什么,那么,多人,买,了,mac,却,要,装,双系统,呢,！,！,！,！,！,""""
29,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,05, ,09,:,00,:,52,",",苹果,做工,非常,的,好,，,包装,也,很,简洁,但,保护,很,到位,，,屏幕显示,效果,也,是,非常,的,清晰,色彩,。,新,mac, ,pro,的,touch, ,bar,是,个,亮点,，,解决,的,好多,原来,许多,不,方便,的,地方,，,特别,是,做,设计,很,方便,。,发票,一共,给,我,开,了,3,张,，,单张,发票,好像,他,的,不能,超过,万元,。,键盘,敲,着,不是,那么,舒服,，,声音,确实,有点,大,。,总体,还是,比较,好,的,，,还是,值,那么,多钱,。
30,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,02,-,11, ,19,:,25,:,21,",",快递,小哥,特别,帅,，,黑,西服,白,手套,红,领结,，,商品质量,没,问题,里外,三层,盒,。,苹果,的,东西,外观,我,就,不,说,了,，,大家,都,懂,，,装,B,首选,。,做,开发,和,视频,图片,处理,工作,如果,预算,充足,还是,推荐,的,。
31,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,05, ,18,:,03,:,31,",",送货,很快,，,第二天,就,到,了,。,电脑,也,上官,网查,了,序列号,，,是,正品,。,但是,这里,有点,不爽,的,是,开机,到,登录,appleid,的,时候,电脑,就,卡死,了,，,键盘,触摸板,都,没有,用,，,问,客服,也,不会,，,发,十几句,还要,等,几分钟,才,看到,回,一句,，,还,回,的,没什么,用,，,最后,只能,强制,重启,，,这,让,我,很,不,开心,，,本来,想,换货,的,，,想想,也,没,去,换,。,等,用,几天,再,来,评价,一下
32,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,18,:,29,:,18,",",在,微软,的,Surface,和,苹果,Mac, ,Pro,之间,犹豫,了,很,久,，,还,特意,跑,去,*,*,电器,商场,里面,实际,的,感受,了,一下,两者,的,实用,感受,，,最终,还是,选择,了,苹果,，,苹果,的,速度,快,一点,，,清晰度,更好,点,，,微软,的,就是,具有,触屏,，,而且,是,我们,熟悉,的,Office,。,在,网上,买,就,怕,有,假货,，,当天,收到,货后,，,仔细,的,查,了,一下,，,是,正品,?,！,希望,在,使用,中,也,不会,出现,什么,问题,。
33,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,06,-,20, ,13,:,07,:,28,",","""",全新,的,，,充电,次数,一次,。
优点,:,很,轻薄,，,屏幕,是,我,用,过,笔记本,看,的,最舒服,的,，,正常,使用,基本,没有,感觉,到,温度,，,使用,一,小时,电量,扣,了,百分之,5,，,可能,是,浏览,网页,不怎么,费电,，,触摸板,手势,很,好,用,。
缺点,:,苹果,系统,装,软件,不,方便,，,软件,数量,也,不,多,，,很多,专业,软件,都,没有,，,我,琢磨,着,外,接个,固态,硬盘,装,windows,。,新款,logo, ,不,发光,，,感觉,发光,好看,点,。,使用,过程,中,偶尔,会卡顿,。,另外,接口,只有,usb,-,c,，,还要,买,转接头,，,前卫,不,前卫,我,不,知道,，,反正,现在,是,非常,不,方便,。,一星,扣,在,系统软件,不,丰富,上,，,苹果,再,这么,封闭,下去,，,会,是,下,一个,诺基亚,。,""""
34,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,06,-,24, ,16,:,51,:,27,",",618,一直,在,看,macbook,电脑,，,先是,想,买,12,寸,那个,，,后来,去,实体店,听,工作人员,建议,还有,朋友,建议,说,这个,价位,建议,买,pro,，,看,了,机器,，,哭,的,深空,灰色,越,看,越,好看,，,更,商务,，,更,稳重,，,用来,上班,，,出差,很,适合,，,想,买,256G,的,，,可是,256G,一直,不,秒杀,，,最终,等到,128G,的,8999,元,秒杀,，,买,了,，,第二天,一看,，,降到,8888,了,，,大喜,，,马上,下,了,单,，,自助,申请,价格,保护,，,呵呵,，,几十秒,系统,自动,审核,成功,，,退回,111,元,差价,，,8888,元,到手,，,比,实体店,9588,便宜,700,，,很,划算,，,这,款,电脑,我,感觉,续航,不行,啊,，,很,发热,，,电掉,得,快,，,总计,也,就,用,4,个,小时,左右,，,感觉,，,离,官方,的,10,个,小时,相差,甚远,哦,，,系统,方面,，,不,支持,东莞,银行,，,招商银行,的,网银,控件,，,也,不,支持,工行,的,企业,银行,控件,，,自己,百度,搜索,，,摸索,着,下载安装,了,双系统,，,成功,登陆,工行,网银,系统,，,买,mac,主要,是,觉得,系统安全,，,但是,不,知道,在,虚拟机,里,上网,银,危险,不,啊,？,拿到,机器,，,一,打开,上盖,自动开机,，,进入,设置,页面,，,整体,不错,，,通过,百度,可以,初步,学会,使用,，,还,挺好用,，,就是,电池,续航,差,哦,！,难道,我,买,的,不是,正品,？,？,？
35,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,18, ,20,:,05,:,57,",",早上,下单,，,下午,就,到,，,物流,很,好,。,工作,需要,，,以前,都,是,windows,开发,，,买,了,pro,以后,要,好好,适应,了,！
36,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,08,-,26, ,21,:,11,:,31,",",触控条,真的,很,好,用,，,贵,2400,多,也,值,了
37,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,05,-,05, ,23,:,25,:,51,",",这,电脑,是,喝,大,了,么,？,？,不,给,个,解释,么,？
38,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,06,-,22, ,12,:,29,:,41,",",垃圾,京东,，,我,买,的,这个,一直,觉得,是,个,劣质,产品,，,各种,出,问题,，,现在,这个,大写,键,每次,都,关不掉,，,要,重新启动,才能,关,，,问,售后,也,没,人理,，,崩溃,死,了,，,怪,自己,当时,想着,比,实体店,少花,一点,钱,，,现在,肠子,都悔青,了,。,?
39,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,20, ,16,:,51,:,26,",",1,万多,的,电脑,外包装,还是,一个,塑料袋,，,也,不,给,送,一个,购物袋
40,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,10,-,14, ,09,:,34,:,59,",",真心,还,不错,啊,，
41,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,03,-,08, ,23,:,05,:,13,",","""",第一次,用,MacBook, ,pro
外观,给,我,的,感觉,有些,很,好,的,金属,感,，,造型,漂亮,的,没得说
系统,呢,，,之前,用,的,虚拟机,，,学习,开发,的,，,但是,虚拟机,总是,各种,卡,不想,说,了,，,为了,学习,开发,忍不住,买,了,它, 
从,去年,一直,念,到,现在,的,book, ,到手,的,感觉,很棒,哈哈
再说,说,京东,快递,吧,也,是,相当,给力,，,凌晨,下单,下午,就,送到,了,，,包装,也,是,很,有,逼格,，,搞,得,我,连,最,外面,的,包装,都,不想,扔,，,哈哈
奉上,朋友,拍,的,写真,?,?,?,""""
42,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,06,-,15, ,15,:,48,:,20,",",第一台,mac,入手,啦, , ,不,设计,不,作图,不,玩游戏, , ,只是,因为,它,的,颜值,哈哈哈, , ,一直,用,iphone, , ,这个,系统,还,没有,辣,么,难搞, , ,适应,过来,就,好,了, , , ,分辨率,确实,赞
43,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,04,-,10, ,19,:,14,:,12,",",用,了,几个,月, ,挺,好,的
44,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,06,-,03, ,18,:,07,:,15,",",谁,能,告诉,我,这,是,怎么回事,啊
45,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,08,-,16, ,17,:,15,:,27,",",京东,自营,就是,黑,，,商,，,购买,前,说,支持,七天,无,理由,退货,，,当,买回来,拆开,使用,时,发现,是,Windows10,的,系统,，,后来,让,朋友,看,了,是,双系统,，,电脑,有,两个,系统,，,只能,说,是,别人,用过,的,在,转手,卖到,我,手上,，,客服,却说,拆封,不能,退,，,我,买,的,是,256G,的,内存,，,在,安卓,系统,已经,占,了,200,内存,，,如果,我要,安卓,的,系统,1,万多,何必,买,苹果,呢,？,只能,说,一万多,在,京东,买,了,二手货
46,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,17, ,16,:,21,:,36,",",快递,小哥,从,大兴,跑,丰台,单独,送,了,过来
47,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,18, ,19,:,30,:,08,",",电脑,从,异地,调货,的,，,一共,买,了,两台,，,价格,实在,，,电脑,确认,过来,评价,的,，,很,好,用,，,外观,很,高级,，,灰色,很,好看,，,京东,很,给,力,，,货真价实,，,满意
48,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,18, ,19,:,29,:,45,",",电脑,从,异地,调货,的,，,价格,实在,，,电脑,确认,过来,评价,的,，,很,好,用,，,外观,很,高级,，,灰色,很,好看,，,京东,很,给,力,，,货真价实,，,满意
49,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,12,-,13, ,23,:,31,:,03,",",嗯,嗯,，,值得,买,！,！,！,深度,办公,谈不上,，,软件设计,编程,也,谈不上,，,发挥,便携,和,颜值,担当,作用,就,好,啦,！,跟,手里,老,老年,的,本子,比,起来,，,厚度,减了,一倍,左右,，,面积,少,一圈,，,重量轻,不少,，,可惜,没,了,信仰,灯,，,更,郁闷,是,啥,啥,端口,都,改,type,-,c,，,想,连接,得,买,转接头
50,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,07,:,50,:,38,",","""",618,秒杀,来,的,，,颜色,真,好看,，,价格,也,很,合理,，,第一次,手,残党,秒,来,的,，,感觉,很,有,成就感,！
键盘,什么,很,方便,，,非常,喜欢,！,""""
51,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,20, ,15,:,25,:,26,",",笔记本,很棒,，,速度,顺畅,，,期待,更好,发现,，,很,理想,的,又,一次,京东,购物,，,非常,喜欢,&,hellip,;
52,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,11,:,03,:,09,",",京尊达,的,小哥,穿,的,好,正式,，,这么,热,的,天儿,，,辛苦,啦,！,看,了,很,久,终于,下手,了,，,第一次,用,苹果,笔记本,，,好,期待,！,包装,超好,。
53,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,16, ,09,:,06,:,00,",",刚,到手,，,感觉,还,不错,，,目前,没有,问题,?,?,?
54,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,18, ,09,:,05,:,01,",",刚买,了,一天,，,用,起来,还是,不,喜欢,慢慢,适应,，,我刚,买,完,，,第二天,就,就,降价,810,元,，,然后,申请,了,价格,保护,，,然后,退,了,810,元,，,京东,服务,还是,相当,不错,的,。
55,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,21,:,34,:,46,",",macbookpro,还是,不错,的
56,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,07,:,33,:,29,",",酷炫,，,颜值,满分,，,特别,喜欢,。
57,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,17,:,57,:,10,",",第一次,用,苹果电脑,，,工艺,不错,，,系统,比,Windows,有,优势,。
58,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,20, ,21,:,57,:,35,",",很,好,，,颜色,很漂亮,，,速度,也,很快,，,第一次,用,苹果,，,感觉,不错,，,就是,软件,少,了
59,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,17,:,55,:,31,",",机型,性能,杠杠,的,，,送给,我,兄弟,，,我,兄弟,很,喜欢,！
60,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,10,:,23,:,02,",",京东,速度,钢钢滴,，,晚上,下单,，,第二天,上班,已到,办公室,门口,。
61,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,22, ,17,:,08,:,27,",",还,可以,，,用,就,好,在,来,。,评论,吧,。
62,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,22,:,24,:,27,",",用,了,一个多月,了,，,简单,说,下,感受,和,使用,情况,，,网上,说,的,情况,有,，,唤醒,的,时候,花屏,出现,过,两次,，,都,是,休眠,时间,过长,才,会,出现,的,，,使用,atom,卡死,过,一会,，,但是,不,死机,。,试用,非常,顺手,，,系统,确实,好用,，,不爱出,小毛病,，,这个,是,windows,系统,不能,比,的,，,给,人,的,感觉,非常,好,，,虽然,配置,不好,，,这,应该,就是,系统,的,优势,吧,！,已经,习惯,没有,鼠标,了,。,还有,一个,最大,的,缺点,，,就是,贵,，,但,值得,！
63,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,03,-,13, ,22,:,55,:,09,",",没有,什么,别的,乱七八糟,的,问题,，,质量,还是,挺,好,的,，,而且,客服,会,确认,你,是否,正常,收货,，,因为,这个,属于,贵重物品,。,比较,适合,办公,用,，,不太,适合,打游戏,，,还是,有,一些,发热,的,，,笔记本,非常,的,轻薄,，,背,起来,一点儿,不成,，,而且,续航,也,挺,好,的,，,如果,成,办公,写,代码,用,的话,，,基本上,可以,撑,一天,，,不用,充电,，,充电器,也,非常,的,轻,，,相比,windows,本,，,不过,这,一款,的,苹果,logo,就,不再,亮,了,，,没有,led,灯
64,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,09,:,21,:,47,",",送给,朋友,的,礼物,！,高大,上,！
65,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,22,:,45,:,26,",",很,好,，,第一次,买,苹果电脑,，,给,孩子,上,大学,的,礼物,。,孩子,说,不错,，,具体,功能,使用,慢慢,体会,。
66,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,21, ,09,:,33,:,51,",",并,没有,制服,白,手套,小哥,送,快递,，,包装,也,没有,那么,多层,，,不过,也,无妨,。,感觉,还,挺,好,的,，,屏幕,无敌,，,触控板,很,舒服,，,不送,鼠标,真的,有些,可惜,，,毕竟,鼠标,还是,挺贵,的,。,还是,个,学生,，,不,玩游戏,，,只是,用来,做,兼, ,职,工作,和,娱乐,，,不得不,说,画质,比,air,好,很多,，,不过,发烫,比较严重,，,不,知道,大家,有没有,这种,情况,。,如果,预算,可以,，,推荐,买,pro
